system:index,biome_id,eco_id,max_age,max_rate,mean_age,mean_rate,median_age,median_rate,min_age,min_rate,p5_age,p5_rate,p95_age,p95_rate,sdtDev_age,stdDev_rate,.geo
321,8.0,403,60,2.9867172241210938,37.42382747268476,1.7007088236433614,37.0,1.6132737350463868,25,1.004526138305664,33.0,1.1292209731207954,43.0,2.574662135197566,3.1774058960813965,0.47170782862034083,"{""type"":""MultiPoint"",""coordinates"":[]}"
322,12.0,422,97,0.7359809875488281,41.993918487287594,0.267323820341497,42.0,0.2479975089366302,19,0.07599759101867676,27.0,0.16398709093002564,59.0,0.48233298368232197,9.82969397664341,0.1010951809438117,"{""type"":""MultiPoint"",""coordinates"":[]}"
323,12.0,423,94,1.808553695678711,37.06557250049802,0.48159728281056624,35.0,0.39450568139501996,14,0.07599782943725586,23.0,0.16182576765225629,60.0,1.1441941655668102,11.967468688581368,0.29744788195183686,"{""type"":""MultiPoint"",""coordinates"":[]}"
324,12.0,424,99,0.8399677276611328,42.92545492574775,0.29810893898153873,42.0,0.2675672253429661,4,0.06399822235107422,22.0,0.11974151471522466,67.0,0.5684714493928132,13.899633000919339,0.13917535085393407,"{""type"":""MultiPoint"",""coordinates"":[]}"
325,12.0,425,71,1.6723213195800781,28.88362952836637,0.7934085185284983,28.0,0.7696398780459449,20,0.2664012908935547,23.0,0.34773688356415566,37.0,1.3323889193327532,4.687933196366127,0.3236941549613745,"{""type"":""MultiPoint"",""coordinates"":[]}"
326,12.0,435,78,0.12399530410766602,78.0,0.12399530410766602,78.0,0.12399530410766602,78,0.12399530410766602,78.0,0.12399530410766602,78.0,0.12399530410766602,0.0,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
327,1.0,439,47,2.0941600799560547,20.04536443326357,1.1981313266705804,20.0,1.2383416568038752,13,0.6160745620727539,16.0,0.746120070886312,25.0,1.5351586139650273,2.724680047290881,0.2379642145212333,"{""type"":""MultiPoint"",""coordinates"":[]}"
328,1.0,440,33,2.006013870239258,19.460206209453197,1.4742194722381534,19.0,1.4726354831137731,16,0.9475173950195312,17.0,1.3243825975840284,23.0,1.6288243451898357,1.9955154434853393,0.10638979451530205,"{""type"":""MultiPoint"",""coordinates"":[]}"
329,1.0,441,37,2.1382083892822266,19.840711312902005,1.2779600010165983,18.0,1.3632876291507627,12,0.6963863372802734,16.0,0.8006763927272109,30.0,1.7382245063781738,4.209242459398387,0.28325649026156696,"{""type"":""MultiPoint"",""coordinates"":[]}"
330,1.0,442,49,2.1484222412109375,18.410049416189267,1.1185566921970647,16.0,1.0430320325304194,10,0.5525646209716797,12.0,0.7458871068063793,32.0,1.7617220166703345,6.025759671877019,0.3014187249953134,"{""type"":""MultiPoint"",""coordinates"":[]}"
331,1.0,443,48,1.8742942810058594,22.520653641032393,1.0220629882900407,21.0,0.9569859216825881,11,0.33599185943603516,16.0,0.6055908545368371,31.0,1.4647688173828919,5.096568093793186,0.29707705738334117,"{""type"":""MultiPoint"",""coordinates"":[]}"
332,1.0,444,57,2.1002540588378906,27.23787127664082,1.359142756584332,26.0,1.4334941633944382,15,0.4302663803100586,17.0,0.7854016639090873,43.0,1.902324008480938,7.637387855870834,0.35281551540963096,"{""type"":""MultiPoint"",""coordinates"":[]}"
333,1.0,445,38,1.8163108825683594,22.236050611906244,1.2356310430786666,21.0,1.2463423295454545,13,0.4467496871948242,15.0,0.7455415725708008,32.0,1.7069086521229846,5.617507790647195,0.31367545317778867,"{""type"":""MultiPoint"",""coordinates"":[]}"
334,1.0,446,27,2.368619918823242,21.71981162715167,2.0969288299748867,22.0,2.1211136350881437,17,1.3452644348144531,20.0,1.9103795349597932,23.0,2.2381436807849395,0.9902602700443872,0.10636202407401983,"{""type"":""MultiPoint"",""coordinates"":[]}"
335,1.0,447,43,2.1940555572509766,23.76986183074266,1.3300018012832484,23.0,1.4491019602175113,12,0.35776329040527344,17.0,0.5973478664051403,32.0,1.8244295976832956,4.368187336032066,0.38761006462312375,"{""type"":""MultiPoint"",""coordinates"":[]}"
336,1.0,448,35,2.953887939453125,23.09786983714162,2.0002555513508926,23.0,2.0661425901098727,10,1.0366325378417969,19.0,1.2774711336408342,28.0,2.5349056044621254,2.7591494811508026,0.36933450099480797,"{""type"":""MultiPoint"",""coordinates"":[]}"
337,1.0,449,28,1.9496803283691406,22.682926829268293,1.7152437349645102,24.0,1.818529764811198,17,1.1314678192138672,18.0,1.3033218383789062,27.0,1.9444236755371094,3.2191426247602735,0.22762224210357948,"{""type"":""MultiPoint"",""coordinates"":[]}"
338,1.0,450,46,2.447254180908203,22.658719479110147,1.6719734044729595,23.0,1.6758313866042547,13,0.6785888671875,16.0,0.9571920111159647,30.0,2.206930852959258,4.2469101709341714,0.33634077400239976,"{""type"":""MultiPoint"",""coordinates"":[]}"
339,1.0,451,42,2.1793174743652344,24.034757793063076,1.4407614690221526,24.0,1.4805408522140149,14,0.6381778717041016,16.0,0.8869701953644448,32.0,1.8790627688896366,5.0195759767253705,0.3036619596904087,"{""type"":""MultiPoint"",""coordinates"":[]}"
340,1.0,452,39,2.2822608947753906,21.20570095015836,1.5966264031930533,20.0,1.6445375613951951,14,0.9726467132568359,17.0,1.1517793991986442,30.0,1.926188804733921,3.726840806230298,0.2308077010807744,"{""type"":""MultiPoint"",""coordinates"":[]}"
341,1.0,453,54,1.4035930633544922,34.63299817184644,0.6150223833987221,35.0,0.6289689287226251,10,0.3212442398071289,25.0,0.3556445577870245,43.0,0.8792729377746582,5.638172066086435,0.16801743279894552,"{""type"":""MultiPoint"",""coordinates"":[]}"
342,1.0,454,32,2.7012882232666016,23.524241282823933,2.1853233605328173,23.0,2.2147910842783802,17,1.3760013580322266,21.0,1.816593343561346,27.0,2.3709631447030715,1.8069879677544967,0.155659432818389,"{""type"":""MultiPoint"",""coordinates"":[]}"
343,1.0,456,60,1.4966506958007812,30.815665044884533,0.8271643332046993,31.0,0.8243520342070481,10,0.3839893341064453,20.0,0.5978859614550582,41.0,1.0743403932941493,6.423495869270523,0.14355711779155444,"{""type"":""MultiPoint"",""coordinates"":[]}"
344,1.0,457,46,2.8664512634277344,24.812551068051828,1.7408974748711414,24.0,1.8360788052674955,9,0.4035816192626953,18.0,0.9146082199225991,33.0,2.38268549302045,4.428001451421248,0.4846152312571446,"{""type"":""MultiPoint"",""coordinates"":[]}"
345,1.0,458,36,2.980518341064453,22.044567219152853,1.84860750799021,22.0,1.9460138987345867,15,0.7232341766357422,16.0,1.1330021007640942,28.0,2.319974193422813,3.3679842087486533,0.3789978874578893,"{""type"":""MultiPoint"",""coordinates"":[]}"
346,1.0,459,57,2.2882537841796875,28.855442772138606,0.96895510519473,28.0,0.8867326080799103,12,0.47217559814453125,19.0,0.597777890487456,44.0,1.5736861533307014,7.283860204842409,0.2962430803726099,"{""type"":""MultiPoint"",""coordinates"":[]}"
347,1.0,460,52,3.067188262939453,23.258158740016885,1.4813179152285043,22.0,1.3045815456724839,7,0.2999906539916992,16.0,0.601802293743406,35.0,2.5234720689331236,5.714754316603522,0.6373703520940817,"{""type"":""MultiPoint"",""coordinates"":[]}"
348,1.0,461,31,2.4401397705078125,24.078520441271902,2.181792749359111,24.0,2.1970186648161514,19,1.6943550109863281,21.0,1.9084211985270183,27.0,2.349097410837809,1.8336920035255921,0.12577463183483584,"{""type"":""MultiPoint"",""coordinates"":[]}"
349,1.0,462,22,1.2574958801269531,20.083333333333332,1.2035239537556965,20.0,1.1959142684936523,19,1.1689224243164062,19.0,1.1689224243164062,22.0,1.2574958801269531,0.953793595188313,0.02391992549000446,"{""type"":""MultiPoint"",""coordinates"":[]}"
350,1.0,463,30,2.0390663146972656,21.772873504053532,1.72191979301864,22.0,1.6894527782093396,18,1.4294719696044922,20.0,1.6268572685046074,25.0,1.9553977062827663,1.632104624218413,0.0987970605245319,"{""type"":""MultiPoint"",""coordinates"":[]}"
351,1.0,464,33,2.804258346557617,20.369430667981998,1.9686390838712744,20.0,2.0231505096554097,10,0.6256294250488281,16.0,1.5702534322206139,24.0,2.2417453602989763,2.439954979907958,0.2347214670292217,"{""type"":""MultiPoint"",""coordinates"":[]}"
