system:index,A,B,K,.geo
72,202.2266845703125,0.4826785922050476,0.015992743894457817,"{""type"":""Point"",""coordinates"":[-70.77970087565097,-9.16163382372648]}"
73,179.10000610351562,0.5150559544563293,0.019805116578936577,"{""type"":""Point"",""coordinates"":[-58.976849209312704,5.640105242557905]}"
74,165.60000610351562,0.5096856951713562,0.02333853766322136,"{""type"":""Point"",""coordinates"":[-57.016448319028925,4.687764929373347]}"
75,203.8986358642578,0.5905081629753113,0.024392524734139442,"{""type"":""Point"",""coordinates"":[-66.12724687209392,3.535522770279047]}"
76,208.4232177734375,0.5556716322898865,0.021971018984913826,"{""type"":""Point"",""coordinates"":[-58.659106304828306,-5.7564875029667615]}"
77,139.5,0.47602346539497375,0.025756387040019035,"{""type"":""Point"",""coordinates"":[-60.209229399382885,-13.49640374067725]}"
78,182.22503662109375,0.5378139615058899,0.023333122953772545,"{""type"":""Point"",""coordinates"":[-75.21203241185353,-8.68512621374248]}"
79,200.0586395263672,0.5477166771888733,0.021623728796839714,"{""type"":""Point"",""coordinates"":[-64.14689154379734,-5.252851207409539]}"
80,192.60000610351562,0.5039348602294922,0.019806768745183945,"{""type"":""Point"",""coordinates"":[-70.72303214203126,-11.522860424568833]}"
81,184.5,0.48466524481773376,0.017596310004591942,"{""type"":""Point"",""coordinates"":[-56.840735544000715,5.001679075395048]}"
82,176.39999389648438,0.5347322225570679,0.024776387959718704,"{""type"":""Point"",""coordinates"":[-72.39679280740566,-5.5774739911719475]}"
83,180.89999389648438,0.5740125775337219,0.025367680937051773,"{""type"":""Point"",""coordinates"":[-49.61834387472083,-4.489489878432368]}"
84,140.39999389648438,0.4223995506763458,0.021616466343402863,"{""type"":""Point"",""coordinates"":[-54.65252649046547,-12.449488071106051]}"
85,182.64878845214844,0.5075635313987732,0.023304440081119537,"{""type"":""Point"",""coordinates"":[-51.65990422084022,-5.482731886501056]}"
86,201.60000610351562,0.5665915608406067,0.024126553907990456,"{""type"":""Point"",""coordinates"":[-73.38577520565904,0.8057709926710206]}"
87,188.88558959960938,0.5207072496414185,0.022282302379608154,"{""type"":""Point"",""coordinates"":[-65.66225900260838,-7.3565538684770235]}"
88,203.32337951660156,0.5311639308929443,0.018795600160956383,"{""type"":""Point"",""coordinates"":[-68.6439560445541,-13.416239325297978]}"
89,191.6999969482422,0.4827846586704254,0.017061207443475723,"{""type"":""Point"",""coordinates"":[-70.45979156178036,-11.273914132744496]}"
90,176.16567993164062,0.4863511323928833,0.021815169602632523,"{""type"":""Point"",""coordinates"":[-60.372472161226476,-8.300488165874782]}"
91,215.10000610351562,0.5529667139053345,0.02161947637796402,"{""type"":""Point"",""coordinates"":[-50.28737637065095,-2.696182891623131]}"
92,148.1072235107422,0.4614811837673187,0.023417895659804344,"{""type"":""Point"",""coordinates"":[-59.494124089329134,-12.849755787651858]}"
